dealer_id,dealer_state,region,model,variant,sales_date,sales_unit,launch_date,discontinued_date,sale_price,msrp_inr,finance_flag,fuel_type,transmission,body_type,is_discontinued,sales_month,months_on_market,months_since_discontinued,year_month
980,Delhi,South,Curvv,Signature,2000-07-13,1,2000-08-27,,2272937,2276147,1,Petrol,Manual,SUV,0,2000-07,0,0,2000-07
416,Tamil Nadu,Central,Punch,Adventure,2000-07-28,1,1996-01-08,,599304,691397,1,Petrol,Automatic,Hatchback,0,2000-07,54,0,2000-07
626,Uttar Pradesh,North,Bolt,Gold,2000-09-05,1,1997-04-15,,623879,779691,1,Diesel,Manual,Hatchback,0,2000-09,41,0,2000-09
677,West Bengal,Central,Punch,XZ,2000-09-16,1,1995-05-24,,767306,783117,0,Petrol,Automatic,Hatchback,0,2000-09,64,0,2000-09
740,Punjab,North,Safari Storme,Prime,2000-09-24,1,1997-03-22,,266675,274140,0,Diesel,Automatic,SUV,0,2000-09,42,0,2000-09
842,Maharashtra,West,Tiago,XE,2000-09-26,1,1998-02-20,,557221,664075,1,Electric,Manual,Hatchback,0,2000-09,31,0,2000-09
685,Delhi,South,Curvv,XZ(O),2000-10-07,1,1995-09-17,,2393696,2525391,1,CNG,Manual,SUV,0,2000-10,61,0,2000-10
755,Punjab,South,Indica,Pro,2000-10-11,1,1997-01-31,,1085475,1120243,1,CNG,Manual,Hatchback,0,2000-10,45,0,2000-10
63,Uttar Pradesh,South,Tigor EV,Pro,2000-10-30,1,1999-09-04,,1483823,1488791,0,Electric,Manual,Hatchback,0,2000-10,13,0,2000-10
28,Telangana,South,Zest,XZ(O),2000-10-30,20,1997-08-27,,1602527,1615291,1,Petrol,Manual,Sedan,0,2000-10,38,0,2000-10
162,Punjab,East,Nano,Adventure,2000-11-06,1,1996-03-11,,1242821,1286975,1,Petrol,Automatic,Hatchback,0,2000-11,56,0,2000-11
569,Karnataka,North,Hexa,Platinum,2000-11-27,1,1997-07-07,,1031650,1203891,1,Petrol+CNG,Manual,SUV,0,2000-11,40,0,2000-11
29,Telangana,North,Hexa,Prime,2000-11-29,1,1997-09-24,,1034599,1246956,1,Diesel,Manual,SUV,0,2000-11,38,0,2000-11
13,Telangana,West,Tigor,Pure,2000-11-29,2,1998-11-03,,2037521,2105203,1,Petrol,Automatic,Sedan,0,2000-11,24,0,2000-11
493,Rajasthan,North,Nexon EV,Premium,2000-12-04,4,1999-01-07,,2690282,3083079,1,Electric,Manual,Hatchback,0,2000-12,23,0,2000-12
956,Odisha,North,Nexon EV,Pure,2000-12-17,1,1995-01-05,,2974698,3556451,1,Electric,Manual,Hatchback,0,2000-12,71,0,2000-12
832,Karnataka,Central,Indigo,Smart,2000-12-21,1,1998-10-06,,1748189,1794035,0,Diesel,Manual,Sedan,0,2000-12,26,0,2000-12
170,Punjab,East,Indica,Pure,2001-01-05,1,1998-08-26,,1047596,1230872,1,Petrol,Automatic,Hatchback,0,2001-01,29,0,2001-01
387,Kerala,South,Indigo,Creative,2001-01-07,1,1995-10-08,,1377934,1717096,0,CNG,Manual,Sedan,0,2001-01,63,0,2001-01
121,Bihar,East,Safari,XZ(O),2001-01-08,1,1998-10-21,,2570904,2958925,1,Diesel,Manual,SUV,0,2001-01,27,0,2001-01
237,Andhra Pradesh,Central,Nexon,Prime,2001-01-19,1,1998-04-24,,2009090,2085337,1,Petrol,Manual,SUV,0,2001-01,33,0,2001-01
405,Telangana,North,Bolt,XZ(O),2001-01-20,1,1996-12-27,,872684,898385,0,Hybrid,AMT,Hatchback,0,2001-01,49,0,2001-01
20,Bihar,North,Nexon,Pro,2001-01-28,2,2000-04-23,,2031742,2332241,0,Petrol,Manual,SUV,0,2001-01,9,0,2001-01
999,Tamil Nadu,Central,Harrier,XZ,2001-01-29,1,1999-04-27,,1544929,1750100,0,Petrol,AMT,SUV,0,2001-01,21,0,2001-01
123,Delhi,West,Tigor EV,Adventure,2001-02-02,1,1999-04-10,,1395426,1667184,0,Electric,Manual,Hatchback,0,2001-02,22,0,2001-02
832,Madhya Pradesh,East,Harrier,Adventure,2001-02-02,1,1996-07-20,,1679616,1763297,1,Petrol,Manual,SUV,0,2001-02,55,0,2001-02
241,Maharashtra,Central,Tiago EV,XT,2001-02-05,1,1997-12-24,,2332942,2373201,0,Electric,Manual,Hatchback,0,2001-02,38,0,2001-02
952,Punjab,East,Safari,Pro,2001-02-06,1,2001-08-30,,2024231,2485719,0,Electric,Manual,SUV,0,2001-02,0,0,2001-02
662,Bihar,South,Hexa,Pro,2001-02-11,1,1998-03-14,,1297214,1337878,1,Diesel,AMT,SUV,0,2001-02,35,0,2001-02
229,West Bengal,East,Harrier,Smart,2001-02-19,5,1995-06-22,,1683396,1750873,0,Diesel,Automatic,SUV,0,2001-02,68,0,2001-02
598,Uttar Pradesh,West,Nexon,XM,2001-02-19,5,2001-04-14,,1749110,2072483,1,Electric,Manual,SUV,0,2001-02,0,0,2001-02
715,Karnataka,East,Bolt,Luxury,2001-02-25,1,2000-01-03,,966691,1046136,0,Petrol,Automatic,Hatchback,0,2001-02,13,0,2001-02
23,Tamil Nadu,East,Tigor EV,Pure,2001-02-27,1,1998-10-19,,1650709,1877173,1,Electric,Automatic,Hatchback,0,2001-02,28,0,2001-02
591,Gujarat,Central,Nexon EV,Luxury,2001-03-09,3,1997-07-04,,2643806,3051201,1,Electric,Manual,Hatchback,0,2001-03,44,0,2001-03
792,Telangana,North,Nano,Gold,2001-03-09,1,2000-10-07,,1031417,1143887,1,Diesel,CVT,Hatchback,0,2001-03,5,0,2001-03
510,Bihar,South,Nexon,Smart,2001-03-16,1,1996-02-18,,1987288,2082676,1,CNG,Manual,SUV,0,2001-03,61,0,2001-03
712,Punjab,South,Tigor,Pure,2001-03-23,10,2000-01-04,,1956131,2147096,0,Petrol,Manual,Sedan,0,2001-03,14,0,2001-03
848,West Bengal,Central,Nexon,Premium,2001-03-27,1,1995-03-13,,2215809,2358877,0,Petrol,Manual,SUV,0,2001-03,72,0,2001-03
116,West Bengal,North,Indigo,XZ(O),2001-03-28,1,1997-07-18,,2021854,2387542,0,Petrol,Manual,Sedan,0,2001-03,44,0,2001-03
363,Punjab,West,Harrier,Sport,2001-03-30,1,1998-07-17,,1948724,2009915,0,Diesel,Manual,SUV,0,2001-03,32,0,2001-03
351,Telangana,South,Curvv,Pro,2001-04-11,1,1995-02-11,,2544031,2604288,1,Diesel,Manual,SUV,0,2001-04,74,0,2001-04
569,Karnataka,South,Safari Storme,XM,2001-04-14,5,1995-01-15,,245573,284176,1,Diesel,Manual,SUV,0,2001-04,75,0,2001-04
711,Punjab,East,Nexon EV,Luxury,2001-04-27,1,2000-06-13,,2729908,3307711,0,Electric,AMT,Hatchback,0,2001-04,10,0,2001-04
335,Gujarat,East,Safari,Signature,2001-05-08,1,1997-10-12,,2394756,2791951,1,Petrol,Manual,SUV,0,2001-05,43,0,2001-05
298,Rajasthan,East,Nexon,Prime,2001-05-12,5,1995-01-13,,2256091,2410029,1,Hybrid,Automatic,SUV,0,2001-05,76,0,2001-05
176,Bihar,North,Indigo,Sport,2001-05-21,1,1997-10-14,,1759456,1970469,1,Electric,Automatic,Sedan,0,2001-05,43,0,2001-05
724,Maharashtra,North,Safari,Platinum,2001-05-25,4,1999-07-02,,2089655,2333492,0,Diesel,Manual,SUV,0,2001-05,22,0,2001-05
353,Punjab,West,Bolt,XZ,2001-05-25,1,1997-10-12,2004-02-07,921030,997294,1,Electric,Manual,Hatchback,1,2001-05,43,0,2001-05
333,Punjab,North,Tigor EV,XZ,2001-05-27,1,1995-02-22,2002-05-10,1486940,1770507,0,Electric,Manual,Hatchback,1,2001-05,75,0,2001-05
730,Karnataka,Central,Nano,XT,2001-05-31,1,1998-02-16,,1034176,1120034,1,Hybrid,Manual,Hatchback,0,2001-05,39,0,2001-05
149,Maharashtra,Central,Nano,Platinum,2001-06-01,1,1995-11-05,,1032949,1196530,0,CNG,Manual,Hatchback,0,2001-06,67,0,2001-06
690,Tamil Nadu,Central,Tigor,XZ(O),2001-06-08,1,2000-02-18,,1976014,2206373,0,Petrol,Automatic,Sedan,0,2001-06,16,0,2001-06
815,Madhya Pradesh,South,Punch,Pro,2001-06-30,1,1998-09-14,,789363,796077,0,Electric,Automatic,Hatchback,0,2001-06,33,0,2001-06
626,Bihar,North,Tiago EV,Prime,2001-07-04,1,1996-11-07,,2007861,2140498,0,Electric,AMT,Hatchback,0,2001-07,56,0,2001-07
893,Rajasthan,South,Nano,XE,2001-07-21,1,1998-12-17,,955810,1103236,1,Petrol,Manual,Hatchback,0,2001-07,31,0,2001-07
283,West Bengal,North,Zest,Premium,2001-07-22,1,2000-10-11,,1505893,1791831,0,Petrol,CVT,Sedan,0,2001-07,9,0,2001-07
599,Punjab,East,Safari Storme,Signature,2001-07-28,1,1995-03-24,,277582,286041,0,Diesel,Manual,SUV,0,2001-07,76,0,2001-07
236,Telangana,North,Tiago EV,Premium,2001-08-13,3,2000-05-21,,2499748,2591381,0,Electric,Manual,Hatchback,0,2001-08,15,0,2001-08
318,Gujarat,West,Nexon EV,Smart,2001-08-14,1,1999-06-11,,2835590,3093816,1,Electric,Manual,Hatchback,0,2001-08,26,0,2001-08
223,Tamil Nadu,West,Indica,XZ(O),2001-08-23,1,1998-09-28,,1292043,1390230,0,Petrol,Manual,Hatchback,0,2001-08,35,0,2001-08
41,West Bengal,North,Hexa,Sport,2001-09-09,1,2000-05-04,,1215104,1268402,0,Hybrid,Manual,SUV,0,2001-09,16,0,2001-09
818,Maharashtra,South,Curvv,XE,2001-09-10,10,1997-05-23,,1781094,2163170,0,Hybrid,Manual,SUV,0,2001-09,52,0,2001-09
384,West Bengal,Central,Indica,Pure,2001-09-19,1,1996-03-17,,1259058,1351338,1,Diesel,Manual,Hatchback,0,2001-09,66,0,2001-09
322,West Bengal,North,Nexon,Pure,2001-09-28,2,2001-10-18,,2272866,2257373,0,Petrol,Automatic,SUV,0,2001-09,0,0,2001-09
457,Bihar,East,Curvv,Creative,2001-09-29,20,1997-09-25,,1956655,1994173,0,Hybrid,Automatic,SUV,0,2001-09,48,0,2001-09
477,Karnataka,East,Nexon,XM,2001-10-06,1,1998-12-14,,2029302,2299284,1,Petrol,Manual,SUV,0,2001-10,34,0,2001-10
911,Uttar Pradesh,Central,Altroz,Signature,2001-10-20,5,1998-01-03,,1872671,2307041,1,Petrol,Manual,Hatchback,0,2001-10,45,0,2001-10
41,Uttar Pradesh,East,Tiago EV,Gold,2001-11-04,1,1995-04-04,,2200084,2278260,1,Electric,Automatic,Hatchback,0,2001-11,79,0,2001-11
281,Bihar,Central,Hexa,Smart,2001-11-12,1,1996-04-04,,1054682,1070624,1,Diesel,Manual,SUV,0,2001-11,67,0,2001-11
766,Andhra Pradesh,North,Tiago,Pure,2001-11-13,1,2000-05-15,,674025,725510,1,Petrol,Manual,Hatchback,0,2001-11,18,0,2001-11
471,Delhi,North,Indigo,XZ(O),2001-11-13,4,1997-06-02,,1877159,1946201,1,Petrol,AMT,Sedan,0,2001-11,53,0,2001-11
815,Punjab,South,Nano,Gold,2001-11-20,1,1996-10-20,,963872,1073807,1,Electric,Automatic,Hatchback,0,2001-11,61,0,2001-11
293,Delhi,North,Altroz,XE,2001-11-26,20,2001-09-27,,1781486,2081247,0,CNG,AMT,Hatchback,0,2001-11,2,0,2001-11
566,Odisha,West,Hexa,Pure,2001-11-30,1,1997-10-21,,1462522,1473911,0,Petrol,Manual,SUV,0,2001-11,49,0,2001-11
114,Telangana,North,Nano,XE,2001-12-01,1,1996-06-25,,1080562,1138607,1,Hybrid,Manual,Hatchback,0,2001-12,66,0,2001-12
655,Tamil Nadu,East,Safari Storme,Signature,2001-12-13,1,2000-12-07,,265201,284719,0,Petrol,Manual,SUV,0,2001-12,12,0,2001-12
189,Telangana,North,Bolt,XZ,2001-12-31,1,1995-03-25,,821411,900547,1,Petrol,Manual,Hatchback,0,2001-12,81,0,2001-12
167,Bihar,South,Altroz,Gold,2002-01-04,3,1996-05-06,,1537839,1910091,1,Diesel,Manual,Hatchback,0,2002-01,68,0,2002-01
565,Odisha,East,Nexon,XE,2002-01-08,1,2002-04-23,,1868188,1880098,1,Diesel,Manual,SUV,0,2002-01,0,0,2002-01
178,Rajasthan,East,Indigo,Pure,2002-01-09,10,2002-03-29,,2442370,2400278,1,Petrol,Manual,Sedan,0,2002-01,0,0,2002-01
185,Odisha,South,Indigo,Gold,2002-01-23,1,1998-05-12,,1557095,1840702,0,Diesel,AMT,Sedan,0,2002-01,44,0,2002-01
842,Andhra Pradesh,North,Nano,Smart,2002-01-24,1,1996-05-24,,1242493,1236928,1,Petrol,AMT,Hatchback,0,2002-01,68,0,2002-01
516,Tamil Nadu,West,Punch,Pro,2002-01-30,2,1997-08-10,,733331,769694,0,Petrol,Manual,Hatchback,0,2002-01,53,0,2002-01
51,Bihar,East,Curvv,Pro,2002-01-31,10,2000-06-20,,2229214,2392782,0,Petrol,Manual,SUV,0,2002-01,19,0,2002-01
235,Telangana,North,Nexon EV,Smart,2002-02-02,1,1995-01-22,,3150251,3129114,1,Electric,Manual,Hatchback,0,2002-02,85,0,2002-02
803,Rajasthan,South,Nano,Prime,2002-02-03,1,1996-01-16,,904912,1100921,1,Petrol,Manual,Hatchback,0,2002-02,73,0,2002-02
521,Gujarat,North,Nexon EV,Platinum,2002-02-03,1,1995-01-24,,2223012,2659310,1,Electric,Automatic,Hatchback,0,2002-02,85,0,2002-02
830,Tamil Nadu,South,Nexon,Sport,2002-02-04,1,1995-05-03,,2374635,2452330,0,Petrol,Manual,SUV,0,2002-02,81,0,2002-02
496,Bihar,East,Tigor,XT,2002-02-05,2,1998-04-18,,2004372,2080339,1,Diesel,Manual,Sedan,0,2002-02,46,0,2002-02
639,Kerala,North,Altroz,Prime,2002-02-08,5,1998-12-29,,2067417,2084202,1,Diesel,Manual,Hatchback,0,2002-02,38,0,2002-02
88,Telangana,East,Altroz,XZ,2002-02-17,1,1996-05-25,,2009197,2355797,1,Petrol,AMT,Hatchback,0,2002-02,69,0,2002-02
54,Odisha,East,Safari,Adventure,2002-02-22,1,1998-11-27,,2331773,2342119,1,Petrol,Automatic,SUV,0,2002-02,39,0,2002-02
206,West Bengal,South,Indica,Sport,2002-02-23,1,2000-04-02,,885778,1092966,0,Electric,Manual,Hatchback,0,2002-02,22,0,2002-02
578,Karnataka,North,Tiago,Pure,2002-03-01,1,1996-11-19,,737103,778454,1,Petrol,Automatic,Hatchback,0,2002-03,64,0,2002-03
187,Punjab,Central,Punch,XM,2002-03-03,1,1995-04-04,,613430,683779,1,CNG,CVT,Hatchback,0,2002-03,83,0,2002-03
407,Odisha,Central,Indica,Premium,2002-03-16,20,2001-03-07,,1242060,1243586,1,Hybrid,Automatic,Hatchback,0,2002-03,12,0,2002-03
102,Madhya Pradesh,Central,Indigo,XM,2002-03-30,1,2000-10-09,,1725444,2091175,0,Petrol,Manual,Sedan,0,2002-03,17,0,2002-03
135,Maharashtra,Central,Hexa,XZ,2002-03-30,1,2001-08-29,,1073686,1137308,1,Petrol,Manual,SUV,0,2002-03,7,0,2002-03
786,Andhra Pradesh,Central,Bolt,Premium,2002-03-31,1,1997-09-02,,924842,925968,1,Diesel,Manual,Hatchback,0,2002-03,54,0,2002-03
312,Punjab,South,Harrier,XE,2002-04-01,1,1998-09-19,,1659227,1747783,1,Petrol,Manual,SUV,0,2002-04,43,0,2002-04
205,Madhya Pradesh,South,Tigor EV,Gold,2002-04-09,1,1997-01-23,,1107143,1370183,0,Electric,Manual,Hatchback,0,2002-04,63,0,2002-04
415,Rajasthan,West,Tigor,XZ,2002-04-11,1,1996-10-23,,1595427,1965040,1,Petrol,Manual,Sedan,0,2002-04,66,0,2002-04
468,Gujarat,North,Nexon EV,Gold,2002-04-23,1,1997-06-07,,2471751,2598093,1,Electric,Manual,Hatchback,0,2002-04,58,0,2002-04
592,Madhya Pradesh,North,Nexon,Creative,2002-04-24,1,2000-01-20,,2182449,2223631,1,Petrol,AMT,SUV,0,2002-04,27,0,2002-04
937,West Bengal,South,Altroz,Pure,2002-04-25,1,2001-03-25,,1978163,2356500,1,Petrol,Manual,Hatchback,0,2002-04,13,0,2002-04
572,Kerala,East,Bolt,XZ(O),2002-04-26,10,2000-08-11,,880978,994155,1,Petrol,AMT,Hatchback,0,2002-04,20,0,2002-04
344,Telangana,East,Indica,Platinum,2002-04-28,1,1996-08-04,,1151821,1211255,1,Hybrid,Manual,Hatchback,0,2002-04,68,0,2002-04
182,Delhi,Central,Altroz,Prime,2002-05-04,1,1996-03-29,,2304617,2281663,0,Petrol+CNG,Automatic,Hatchback,0,2002-05,74,0,2002-05
857,Karnataka,East,Altroz,Platinum,2002-05-09,1,1997-07-04,,1894502,2278073,1,Diesel,Manual,Hatchback,0,2002-05,58,0,2002-05
527,Odisha,South,Tigor EV,Pure,2002-05-30,1,2000-08-24,,1891061,1898028,1,Electric,Automatic,Hatchback,0,2002-05,21,0,2002-05
594,Delhi,East,Tigor EV,Smart,2002-06-01,1,2002-06-16,,1412783,1644995,0,Electric,Automatic,Hatchback,0,2002-06,0,0,2002-06
212,Kerala,East,Punch,Smart,2002-06-18,1,2000-12-16,,615366,647807,1,Petrol,AMT,Hatchback,0,2002-06,18,0,2002-06
872,Kerala,South,Safari Storme,Smart,2002-06-19,1,1995-06-26,,240184,249154,1,Petrol,Manual,SUV,0,2002-06,84,0,2002-06
415,Gujarat,North,Safari Storme,Pure,2002-06-20,1,2000-09-09,,319098,330485,0,Petrol,Manual,SUV,0,2002-06,21,0,2002-06
517,Andhra Pradesh,Central,Zest,Premium,2002-06-21,10,2000-08-23,,1433601,1674271,1,CNG,CVT,Sedan,0,2002-06,22,0,2002-06
458,Bihar,North,Safari,Creative,2002-06-25,1,2001-11-19,,1933997,2191149,0,Diesel,Automatic,SUV,0,2002-06,7,0,2002-06
859,Karnataka,South,Tiago EV,Sport,2002-06-26,2,2000-09-25,,2487058,2548126,0,Electric,Automatic,Hatchback,0,2002-06,21,0,2002-06
49,Madhya Pradesh,East,Indigo,XM,2002-07-01,1,1999-04-08,,1776760,1824084,0,Diesel,Automatic,Sedan,0,2002-07,39,0,2002-07
469,Bihar,West,Nexon,Luxury,2002-07-02,1,2002-07-27,,2317795,2505891,0,Hybrid,Manual,SUV,0,2002-07,0,0,2002-07
701,Tamil Nadu,South,Tiago,Premium,2002-07-04,1,1998-05-22,,618549,753159,1,Petrol,Automatic,Hatchback,0,2002-07,50,0,2002-07
502,Karnataka,Central,Curvv,Sport,2002-07-07,1,2000-08-20,,2217190,2355177,1,Diesel,Manual,SUV,0,2002-07,23,0,2002-07
985,Telangana,West,Hexa,Luxury,2002-07-13,1,1996-06-17,,1211841,1204375,1,Hybrid,Manual,SUV,0,2002-07,73,0,2002-07
92,Punjab,South,Harrier,Signature,2002-07-19,4,2000-03-30,,1611858,1814384,1,Petrol,Manual,SUV,0,2002-07,28,0,2002-07
43,Telangana,East,Curvv,XE,2002-07-22,1,1998-04-26,,1883377,1913274,1,Petrol,Manual,SUV,0,2002-07,51,0,2002-07
691,Gujarat,West,Punch,Signature,2002-07-29,1,2000-03-31,,733807,868093,0,Diesel,CVT,Hatchback,0,2002-07,28,0,2002-07
822,Uttar Pradesh,South,Altroz,Pure,2002-07-29,1,1996-08-26,,2031918,2338412,1,Petrol,AMT,Hatchback,0,2002-07,71,0,2002-07
674,Maharashtra,South,Harrier,XT,2002-08-06,1,1996-10-01,,1642176,1872671,1,Electric,Automatic,SUV,0,2002-08,70,0,2002-08
144,Uttar Pradesh,West,Indica,XZ,2002-08-07,3,1995-01-19,,916504,1126982,0,Diesel,Automatic,Hatchback,0,2002-08,91,0,2002-08
53,Rajasthan,East,Nano,Smart,2002-08-08,1,1996-08-24,,1215762,1205205,0,Hybrid,AMT,Hatchback,0,2002-08,72,0,2002-08
601,Andhra Pradesh,East,Tiago,Adventure,2002-08-08,5,2000-10-26,,551766,689152,1,Electric,Manual,Hatchback,0,2002-08,22,0,2002-08
356,Andhra Pradesh,East,Tigor,Creative,2002-08-11,1,2000-09-15,,1531403,1732071,0,Diesel,AMT,Sedan,0,2002-08,23,0,2002-08
441,Madhya Pradesh,Central,Indigo,Gold,2002-08-14,1,1996-01-02,,1824917,1858017,0,Diesel,Manual,Sedan,0,2002-08,79,0,2002-08
321,Maharashtra,West,Curvv,Pro,2002-08-15,1,1996-03-07,,1839310,2264984,1,Petrol,Manual,SUV,0,2002-08,77,0,2002-08
957,Gujarat,Central,Tigor,Pure,2002-08-18,3,2002-06-18,,1969905,2060167,1,Diesel,Automatic,Sedan,0,2002-08,2,0,2002-08
703,Uttar Pradesh,West,Bolt,Prime,2002-08-19,1,2001-02-17,,761708,850291,1,Diesel,Manual,Hatchback,0,2002-08,18,0,2002-08
531,Bihar,North,Nexon EV,XM,2002-08-20,1,1998-01-02,,2476921,2927361,1,Electric,Automatic,Hatchback,0,2002-08,55,0,2002-08
428,Telangana,Central,Bolt,Signature,2002-09-04,1,1998-02-08,,811547,940141,0,Petrol,Manual,Hatchback,0,2002-09,55,0,2002-09
171,Madhya Pradesh,South,Indica,Pure,2002-09-16,1,1995-09-08,,1077383,1237114,1,Diesel,Manual,Hatchback,0,2002-09,84,0,2002-09
158,Kerala,Central,Harrier,XZ(O),2002-09-16,1,1998-02-13,,1780547,1840245,1,Diesel,Manual,SUV,0,2002-09,55,0,2002-09
102,Uttar Pradesh,North,Curvv,Creative,2002-09-21,1,1997-09-30,,1709527,1940941,0,Petrol,Manual,SUV,0,2002-09,60,0,2002-09
507,Telangana,East,Tigor EV,Prime,2002-09-30,1,2000-11-29,,1368940,1542013,0,Electric,Manual,Hatchback,0,2002-09,22,0,2002-09
222,Gujarat,North,Tigor EV,Creative,2002-10-07,20,1995-01-25,,1403507,1475659,1,Electric,Manual,Hatchback,0,2002-10,93,0,2002-10
431,Madhya Pradesh,West,Tigor,Pure,2002-10-10,1,1998-12-15,,2352622,2394541,0,Hybrid,Manual,Sedan,0,2002-10,46,0,2002-10
778,Rajasthan,South,Nexon EV,XM,2002-10-13,1,1996-11-12,,2557802,2699870,1,Electric,Manual,Hatchback,0,2002-10,71,0,2002-10
256,Kerala,West,Punch,Platinum,2002-10-20,1,2000-04-04,,715502,765046,0,Diesel,Manual,Hatchback,0,2002-10,30,0,2002-10
369,Delhi,North,Hexa,Smart,2002-10-31,1,1996-06-06,,1112692,1203560,1,Electric,AMT,SUV,0,2002-10,76,0,2002-10
497,Punjab,South,Safari Storme,Adventure,2002-10-31,1,1995-02-18,,224523,257746,1,Diesel,Manual,SUV,0,2002-10,92,0,2002-10
111,West Bengal,South,Tiago,Sport,2002-11-06,2,2001-03-30,2002-12-04,699596,724333,1,Petrol,Manual,Hatchback,1,2002-11,20,0,2002-11
139,Maharashtra,East,Indica,XT,2002-11-07,1,1997-06-08,,987649,1057291,1,Petrol,Manual,Hatchback,0,2002-11,65,0,2002-11
372,Punjab,Central,Indica,XZ(O),2002-11-09,3,1998-01-15,,1200055,1256977,1,Hybrid,Automatic,Hatchback,0,2002-11,58,0,2002-11
444,West Bengal,South,Safari,XE,2002-11-12,1,2002-11-15,,1848162,2202123,0,Diesel,Manual,SUV,0,2002-11,0,0,2002-11
557,Odisha,North,Harrier,Smart,2002-11-12,5,1995-04-20,,1623366,1684492,1,CNG,Manual,SUV,0,2002-11,91,0,2002-11
404,Uttar Pradesh,Central,Tigor EV,Gold,2002-11-20,1,1997-12-30,,1378716,1366756,1,Electric,Automatic,Hatchback,0,2002-11,59,0,2002-11
470,Odisha,East,Tiago EV,Premium,2002-11-25,1,1995-04-12,,2214768,2418186,1,Electric,Automatic,Hatchback,0,2002-11,91,0,2002-11
532,Odisha,East,Nexon EV,XZ(O),2002-11-27,1,1996-03-28,,3085978,3461613,1,Electric,Manual,Hatchback,0,2002-11,80,0,2002-11
538,Rajasthan,Central,Punch,Gold,2002-11-29,1,2000-01-20,,681983,688817,1,Petrol,Manual,Hatchback,0,2002-11,34,0,2002-11
907,Delhi,East,Hexa,Platinum,2002-11-29,1,1995-05-01,,979508,1059415,0,Hybrid,Manual,SUV,0,2002-11,90,0,2002-11
914,West Bengal,North,Hexa,XE,2002-11-30,1,1999-06-28,,964705,1035984,1,CNG,Manual,SUV,0,2002-11,41,0,2002-11
744,Tamil Nadu,South,Curvv,Premium,2002-12-01,1,2000-09-17,2006-06-06,2327723,2446784,1,Petrol,Manual,SUV,1,2002-12,27,0,2002-12
96,Madhya Pradesh,North,Nexon,XE,2002-12-03,1,1995-10-24,,1663845,1968822,0,Hybrid,Manual,SUV,0,2002-12,86,0,2002-12
333,Delhi,West,Nexon,Luxury,2002-12-27,1,1997-12-16,,2249799,2259111,1,Petrol,Automatic,SUV,0,2002-12,60,0,2002-12
688,Rajasthan,South,Harrier,Pure,2002-12-28,1,2001-04-23,2006-03-21,1824419,1940263,0,CNG,Manual,SUV,1,2002-12,20,0,2002-12
