dealer_id,model,variant,year_month,year,month,bookings,cancellations,retail_sales,dealer_requested_qty,allocated_qty,dispatch_qty,in_transit_qty,opening_inventory,closing_inventory,lead_time_days,allocation_policy,panic_order_flag,stockout_flag,enquiries,test_drives,repeat_orders
DLR0001,Nexon,XE,2023-07,2023,7,12,0,14,19,17,16,0,5,7,8,Priority-Zone,1,0,36,24,1
DLR0001,Nexon,XE,2023-08,2023,8,11,0,15,12,10,9,1,7,1,15,Priority-Zone,1,0,53,25,1
DLR0001,Nexon,XE,2023-09,2023,9,8,0,8,14,13,12,0,1,5,13,Priority-Zone,1,0,28,16,0
DLR0001,Nexon,XE,2023-10,2023,10,16,2,16,20,19,18,0,5,7,21,Priority-Zone,1,0,69,38,1
DLR0001,Nexon,XE,2023-11,2023,11,32,3,30,40,39,36,6,7,13,18,Priority-Zone,1,0,115,63,2
DLR0001,Nexon,XE,2023-12,2023,12,11,1,10,6,5,4,0,13,7,7,Priority-Zone,0,0,44,25,0
DLR0001,Nexon,XM,2020-01,2020,1,8,0,8,13,11,10,0,20,22,17,Priority-Zone,0,0,32,15,1
DLR0001,Nexon,XM,2020-02,2020,2,17,0,11,10,9,8,0,22,19,8,Priority-Zone,0,0,57,32,1
DLR0001,Nexon,XM,2020-03,2020,3,14,1,9,7,6,5,1,19,15,9,Priority-Zone,0,0,69,32,0
DLR0001,Nexon,XM,2020-04,2020,4,2,0,4,3,2,1,0,15,12,17,Priority-Zone,0,0,9,3,0
DLR0001,Nexon,XM,2020-05,2020,5,0,0,2,0,0,0,0,12,10,18,Priority-Zone,0,0,0,0,0
DLR0001,Nexon,XM,2020-06,2020,6,6,1,5,7,6,5,0,10,10,18,Priority-Zone,0,0,28,13,0
DLR0001,Nexon,XM,2020-07,2020,7,0,0,2,0,0,0,0,10,8,19,Priority-Zone,0,0,0,0,0
DLR0001,Nexon,XM,2020-08,2020,8,1,0,1,0,0,0,0,8,7,11,Priority-Zone,0,0,4,2,0
DLR0001,Nexon,XM,2020-09,2020,9,6,0,7,8,7,6,1,7,6,7,Priority-Zone,0,0,19,11,0
DLR0001,Nexon,XM,2020-10,2020,10,11,0,14,20,19,18,5,6,10,7,Priority-Zone,1,0,37,19,1
DLR0001,Nexon,XM,2020-11,2020,11,20,1,17,18,17,16,4,10,9,10,Priority-Zone,0,0,61,48,2
DLR0001,Nexon,XM,2020-12,2020,12,15,1,14,13,12,11,2,9,6,18,Priority-Zone,0,0,54,28,1
DLR0001,Nexon,XM,2021-01,2021,1,7,0,11,8,7,6,0,6,1,13,Priority-Zone,0,0,26,16,1
DLR0001,Nexon,XM,2021-02,2021,2,10,0,9,13,12,11,2,1,3,11,Priority-Zone,1,0,35,15,0
DLR0001,Nexon,XM,2021-03,2021,3,25,2,22,30,21,20,2,3,1,9,Priority-Zone,1,0,116,43,1
DLR0001,Nexon,XM,2021-04,2021,4,20,1,16,20,18,17,3,1,2,16,Priority-Zone,1,0,74,36,1
DLR0001,Nexon,XM,2021-05,2021,5,8,0,6,10,9,8,1,2,4,20,Priority-Zone,1,0,28,17,0
DLR0001,Nexon,XM,2021-06,2021,6,2,0,4,1,0,0,0,4,0,8,Priority-Zone,0,1,8,3,0
DLR0001,Nexon,XM,2021-07,2021,7,26,2,11,24,19,17,5,0,6,18,Priority-Zone,1,0,85,40,1
DLR0001,Nexon,XM,2021-08,2021,8,17,4,16,26,15,14,0,6,4,17,Priority-Zone,1,0,78,28,1
DLR0001,Nexon,XM,2021-09,2021,9,16,1,14,19,17,15,4,4,5,11,Priority-Zone,1,0,50,28,1
DLR0001,Nexon,XM,2021-10,2021,10,12,1,13,16,15,14,2,5,6,7,Priority-Zone,1,0,59,20,1
DLR0001,Nexon,XM,2021-11,2021,11,23,1,20,38,18,17,3,6,3,11,Priority-Zone,1,0,104,39,1
DLR0001,Nexon,XM,2021-12,2021,12,12,1,11,11,10,9,0,3,1,7,Priority-Zone,1,0,40,27,1
DLR0001,Nexon,XM,2022-01,2022,1,14,0,13,15,14,13,1,1,1,19,Priority-Zone,1,0,42,26,1
DLR0001,Nexon,XM,2022-02,2022,2,7,0,7,9,8,7,1,1,1,8,Priority-Zone,1,0,32,13,1
DLR0001,Nexon,XM,2022-03,2022,3,7,0,8,10,9,8,2,1,1,20,Priority-Zone,1,0,30,17,0
DLR0001,Nexon,XM,2022-04,2022,4,11,2,11,16,15,14,3,1,4,10,Priority-Zone,1,0,49,21,1
DLR0001,Nexon,XM,2022-05,2022,5,10,0,11,14,12,11,2,4,4,18,Priority-Zone,1,0,45,24,1
DLR0001,Nexon,XM,2022-06,2022,6,17,4,15,28,16,15,3,4,4,17,Priority-Zone,1,0,53,30,1
DLR0001,Nexon,XM,2022-07,2022,7,8,0,9,11,10,9,2,4,4,11,Priority-Zone,1,0,29,15,1
DLR0001,Nexon,XM,2022-08,2022,8,31,2,19,33,20,18,4,4,3,13,Priority-Zone,1,0,100,58,1
DLR0001,Nexon,XM,2022-09,2022,9,29,2,20,30,20,19,2,3,2,9,Priority-Zone,1,0,137,59,2
DLR0001,Nexon,XM,2022-10,2022,10,26,1,21,26,22,20,1,2,1,17,Priority-Zone,1,0,110,54,1
DLR0001,Nexon,XM,2022-11,2022,11,11,0,14,21,19,17,0,1,4,8,Priority-Zone,1,0,40,19,1
DLR0001,Nexon,XM,2022-12,2022,12,13,0,13,17,15,14,2,4,5,7,Priority-Zone,1,0,40,29,1
DLR0001,Nexon,XM,2023-01,2023,1,11,1,12,15,13,12,0,5,5,9,Priority-Zone,1,0,39,21,0
DLR0001,Nexon,XM,2023-02,2023,2,5,0,7,6,5,4,0,5,2,21,Priority-Zone,0,0,18,7,0
DLR0001,Nexon,XM,2023-03,2023,3,33,2,20,48,20,19,0,2,1,18,Priority-Zone,1,0,147,69,1
DLR0001,Nexon,XM,2023-04,2023,4,17,1,13,19,17,16,4,1,4,20,Priority-Zone,1,0,72,39,0
DLR0001,Nexon,XM,2023-05,2023,5,16,1,18,24,20,19,1,4,5,18,Priority-Zone,1,0,76,28,1
DLR0001,Nexon,XM,2023-06,2023,6,14,1,15,16,14,12,0,5,2,11,Priority-Zone,1,0,55,21,2
DLR0001,Nexon,XM,2023-07,2023,7,10,1,9,13,11,10,0,2,3,9,Priority-Zone,1,0,32,23,0
DLR0001,Nexon,XM,2023-08,2023,8,22,1,18,26,20,18,2,3,3,9,Priority-Zone,1,0,97,54,1
DLR0001,Nexon,XM,2023-09,2023,9,21,2,18,25,22,21,5,3,6,9,Priority-Zone,1,0,94,33,0
DLR0001,Nexon,XM,2023-10,2023,10,38,2,20,37,21,20,5,6,6,14,Priority-Zone,1,0,156,92,1
DLR0001,Nexon,XM,2023-11,2023,11,18,1,16,22,20,19,4,6,9,14,Priority-Zone,1,0,81,33,2
DLR0001,Nexon,XM,2023-12,2023,12,14,1,14,12,11,10,0,9,5,15,Priority-Zone,0,0,55,34,1
DLR0001,Nexon,XZ,2020-01,2020,1,7,0,5,8,7,6,0,6,7,20,Priority-Zone,0,0,28,15,0
DLR0001,Nexon,XZ,2020-02,2020,2,10,0,11,11,10,9,2,7,5,10,Priority-Zone,0,0,38,23,0
DLR0001,Nexon,XZ,2020-03,2020,3,14,1,8,6,5,4,1,5,1,20,Priority-Zone,0,0,42,32,0
DLR0001,Nexon,XZ,2020-04,2020,4,4,0,4,9,8,7,0,1,4,8,Priority-Zone,1,0,12,6,0
DLR0001,Nexon,XZ,2020-05,2020,5,6,1,4,3,2,1,0,4,1,21,Priority-Zone,0,0,18,9,0
DLR0001,Nexon,XZ,2020-06,2020,6,2,0,6,8,7,6,1,1,1,18,Priority-Zone,1,0,8,4,0
DLR0001,Nexon,XZ,2020-07,2020,7,2,0,2,3,2,1,0,1,0,14,Priority-Zone,1,1,7,3,0
DLR0001,Nexon,XZ,2020-08,2020,8,0,0,1,1,0,0,0,0,0,16,Priority-Zone,1,1,0,0,0
DLR0001,Nexon,XZ,2020-09,2020,9,7,0,8,12,11,10,1,0,2,7,Priority-Zone,1,0,33,17,0
DLR0001,Nexon,XZ,2020-10,2020,10,20,1,21,28,27,25,2,2,6,14,Priority-Zone,1,0,69,35,1
DLR0001,Nexon,XZ,2020-11,2020,11,10,1,6,5,4,3,0,6,3,17,Priority-Zone,0,0,38,19,0
DLR0001,Nexon,XZ,2020-12,2020,12,14,1,9,10,9,8,0,3,2,11,Priority-Zone,1,0,63,26,0
DLR0001,Nexon,XZ,2021-01,2021,1,15,1,13,19,18,16,0,2,5,14,Priority-Zone,1,0,51,31,0
DLR0001,Nexon,XZ,2021-02,2021,2,13,1,15,16,15,14,3,5,4,17,Priority-Zone,1,0,41,22,1
DLR0001,Nexon,XZ,2021-03,2021,3,38,2,31,41,40,37,10,4,10,8,Priority-Zone,1,0,136,66,4
DLR0001,Nexon,XZ,2021-04,2021,4,25,2,19,17,15,14,3,10,5,9,Priority-Zone,0,0,83,58,1
DLR0001,Nexon,XZ,2021-05,2021,5,22,1,21,26,25,24,5,5,8,19,Priority-Zone,1,0,106,50,1
DLR0001,Nexon,XZ,2021-06,2021,6,17,2,12,11,10,9,1,8,5,7,Priority-Zone,0,0,78,38,1
DLR0001,Nexon,XZ,2021-07,2021,7,19,2,15,21,19,18,3,5,8,21,Priority-Zone,1,0,81,43,1
DLR0001,Nexon,XZ,2021-08,2021,8,8,1,8,9,8,7,0,8,7,13,Priority-Zone,0,0,37,15,0
DLR0001,Nexon,XZ,2021-09,2021,9,15,3,13,15,14,13,0,7,7,12,Priority-Zone,0,0,69,33,0
DLR0001,Nexon,XZ,2021-10,2021,10,25,5,25,38,35,34,5,7,16,7,Priority-Zone,1,0,84,47,2
DLR0001,Nexon,XZ,2021-11,2021,11,8,0,10,11,10,9,1,16,15,20,Priority-Zone,0,0,38,12,1
DLR0001,Nexon,XZ,2021-12,2021,12,24,5,20,24,23,21,1,15,16,12,Priority-Zone,0,0,97,45,1
DLR0001,Nexon,XZ,2022-01,2022,1,8,0,7,1,0,0,0,16,9,17,Priority-Zone,0,0,36,13,1
DLR0001,Nexon,XZ,2022-02,2022,2,7,1,6,7,6,5,1,9,8,11,Priority-Zone,0,0,33,13,0
DLR0001,Nexon,XZ,2022-03,2022,3,17,3,16,26,24,23,4,8,15,15,Priority-Zone,1,0,61,30,1
DLR0001,Nexon,XZ,2022-04,2022,4,11,2,10,11,10,9,2,15,14,17,Priority-Zone,0,0,35,23,0
DLR0001,Nexon,XZ,2022-05,2022,5,13,2,12,16,14,13,3,14,15,10,Priority-Zone,0,0,44,24,1
DLR0001,Nexon,XZ,2022-06,2022,6,19,2,16,17,15,14,4,15,13,7,Priority-Zone,0,0,73,41,1
DLR0001,Nexon,XZ,2022-07,2022,7,7,0,9,8,7,6,0,13,10,21,Priority-Zone,0,0,32,14,1
DLR0001,Nexon,XZ,2022-08,2022,8,35,2,28,37,36,34,1,10,16,21,Priority-Zone,1,0,165,84,2
DLR0001,Nexon,XZ,2022-09,2022,9,19,2,19,21,20,19,1,16,16,11,Priority-Zone,0,0,57,30,2
DLR0001,Nexon,XZ,2022-10,2022,10,24,1,21,22,20,18,3,16,13,15,Priority-Zone,0,0,96,52,2
DLR0001,Nexon,XZ,2022-11,2022,11,36,4,36,45,44,42,3,13,19,15,Priority-Zone,1,0,138,78,4
DLR0001,Nexon,XZ,2022-12,2022,12,3,0,5,4,3,2,0,19,16,15,Priority-Zone,0,0,10,7,0
DLR0001,Nexon,XZ,2023-01,2023,1,27,3,21,20,19,18,5,16,13,20,Priority-Zone,0,0,87,50,1
DLR0001,Nexon,XZ,2023-02,2023,2,13,1,13,13,12,11,3,13,11,10,Priority-Zone,0,0,47,23,1
DLR0001,Nexon,XZ,2023-03,2023,3,16,1,18,20,19,17,0,11,10,15,Priority-Zone,0,0,78,26,1
DLR0001,Nexon,XZ,2023-04,2023,4,13,1,11,13,11,10,2,10,9,8,Priority-Zone,0,0,47,22,1
DLR0001,Nexon,XZ,2023-05,2023,5,15,1,16,18,17,16,2,9,9,11,Priority-Zone,0,0,60,30,2
DLR0001,Nexon,XZ,2023-06,2023,6,17,1,20,22,21,19,3,9,8,7,Priority-Zone,1,0,74,39,1
DLR0001,Nexon,XZ,2023-07,2023,7,5,0,7,9,8,7,1,8,8,7,Priority-Zone,0,0,18,8,0
DLR0001,Nexon,XZ,2023-08,2023,8,18,2,16,23,21,19,2,8,11,13,Priority-Zone,1,0,88,29,1
DLR0001,Nexon,XZ,2023-09,2023,9,23,1,15,15,14,13,3,11,9,21,Priority-Zone,0,0,113,40,0
DLR0001,Nexon,XZ,2023-10,2023,10,21,2,24,26,25,23,5,9,8,9,Priority-Zone,1,0,73,33,2
DLR0001,Nexon,XZ,2023-11,2023,11,28,1,27,30,29,28,3,8,9,10,Priority-Zone,1,0,111,67,1
DLR0001,Nexon,XZ,2023-12,2023,12,17,0,11,13,12,11,2,9,9,8,Priority-Zone,0,0,61,40,1
DLR0001,Nexon,XZ+,2020-01,2020,1,10,0,9,10,9,8,2,7,6,18,Priority-Zone,0,0,35,18,1
DLR0001,Nexon,XZ+,2020-02,2020,2,4,0,5,7,6,5,1,6,6,10,Priority-Zone,0,0,12,6,0
DLR0001,Nexon,XZ+,2020-03,2020,3,31,1,24,33,31,29,7,6,11,21,Priority-Zone,1,0,130,74,3
DLR0001,Nexon,XZ+,2020-04,2020,4,5,1,6,9,8,7,1,11,12,7,Priority-Zone,0,0,20,7,0
DLR0001,Nexon,XZ+,2020-05,2020,5,3,0,3,1,0,0,0,12,9,13,Priority-Zone,0,0,9,6,0
DLR0001,Nexon,XZ+,2020-06,2020,6,4,1,2,5,4,3,0,9,10,16,Priority-Zone,0,0,14,9,0
DLR0001,Nexon,XZ+,2020-07,2020,7,4,0,4,0,0,0,0,10,6,10,Priority-Zone,0,0,19,8,0
DLR0001,Nexon,XZ+,2020-08,2020,8,1,0,2,0,0,0,0,6,4,8,Priority-Zone,0,0,3,1,0
DLR0001,Nexon,XZ+,2020-09,2020,9,10,1,7,6,5,4,0,4,1,7,Priority-Zone,0,0,32,17,0
DLR0001,Nexon,XZ+,2020-10,2020,10,27,2,21,34,32,29,8,1,9,17,Priority-Zone,1,0,107,65,2
DLR0001,Nexon,XZ+,2020-11,2020,11,14,1,12,12,11,10,1,9,7,8,Priority-Zone,0,0,69,21,0
DLR0001,Nexon,XZ+,2020-12,2020,12,19,1,14,16,15,14,3,7,7,11,Priority-Zone,1,0,66,36,1
DLR0001,Nexon,XZ+,2021-01,2021,1,15,1,14,18,17,15,3,7,8,9,Priority-Zone,1,0,65,34,0
DLR0001,Nexon,XZ+,2021-02,2021,2,25,1,20,25,22,21,2,8,9,18,Priority-Zone,1,0,113,58,2
DLR0001,Nexon,XZ+,2021-03,2021,3,41,2,39,48,45,44,13,9,14,13,Priority-Zone,1,0,142,81,2
DLR0001,Nexon,XZ+,2021-04,2021,4,19,2,19,16,14,13,2,14,8,8,Priority-Zone,0,0,84,32,1
DLR0001,Nexon,XZ+,2021-05,2021,5,15,0,17,22,21,20,4,8,11,18,Priority-Zone,1,0,56,31,1
DLR0001,Nexon,XZ+,2021-06,2021,6,16,1,15,15,14,13,0,11,9,7,Priority-Zone,0,0,68,28,2
DLR0001,Nexon,XZ+,2021-07,2021,7,16,1,14,11,10,9,1,9,4,21,Priority-Zone,0,0,68,28,1
DLR0001,Nexon,XZ+,2021-08,2021,8,14,1,17,22,21,20,3,4,7,19,Priority-Zone,1,0,57,32,1
DLR0001,Nexon,XZ+,2021-09,2021,9,14,3,15,25,24,23,3,7,15,14,Priority-Zone,1,0,44,23,2
DLR0001,Nexon,XZ+,2021-10,2021,10,40,4,36,48,44,41,11,15,20,15,Priority-Zone,1,0,186,60,3
DLR0001,Nexon,XZ+,2021-11,2021,11,20,2,24,22,21,20,4,20,16,10,Priority-Zone,0,0,72,36,2
DLR0001,Nexon,XZ+,2021-12,2021,12,12,0,14,14,13,12,0,16,14,21,Priority-Zone,0,0,40,23,1
DLR0001,Nexon,XZ+,2022-01,2022,1,8,0,9,10,9,8,0,14,13,14,Priority-Zone,0,0,24,17,1
DLR0001,Nexon,XZ+,2022-02,2022,2,7,1,8,13,12,11,2,13,16,18,Priority-Zone,0,0,29,15,0
DLR0001,Nexon,XZ+,2022-03,2022,3,29,2,23,25,23,21,5,16,14,8,Priority-Zone,0,0,126,62,3
DLR0001,Nexon,XZ+,2022-04,2022,4,13,1,11,11,10,9,2,14,12,10,Priority-Zone,0,0,39,27,0
DLR0001,Nexon,XZ+,2022-05,2022,5,7,1,10,12,10,9,3,12,11,8,Priority-Zone,0,0,28,15,1
DLR0001,Nexon,XZ+,2022-06,2022,6,16,1,14,10,9,8,2,11,5,20,Priority-Zone,0,0,55,28,1
DLR0001,Nexon,XZ+,2022-07,2022,7,10,0,11,17,16,15,5,5,9,8,Priority-Zone,1,0,42,18,1
DLR0001,Nexon,XZ+,2022-08,2022,8,19,1,19,26,24,22,5,9,12,21,Priority-Zone,1,0,63,40,2
DLR0001,Nexon,XZ+,2022-09,2022,9,11,1,10,13,12,11,3,12,13,16,Priority-Zone,0,0,48,17,1
DLR0001,Nexon,XZ+,2022-10,2022,10,33,2,27,33,30,29,3,13,15,21,Priority-Zone,1,0,124,59,2
DLR0001,Nexon,XZ+,2022-11,2022,11,35,4,28,28,26,24,7,15,11,10,Priority-Zone,0,0,170,66,4
DLR0001,Nexon,XZ+,2022-12,2022,12,17,1,12,7,6,5,0,11,4,18,Priority-Zone,0,0,55,34,0
DLR0001,Nexon,XZ+,2023-01,2023,1,23,2,20,28,26,24,1,4,8,13,Priority-Zone,1,0,84,45,1
DLR0001,Nexon,XZ+,2023-02,2023,2,13,0,12,10,9,8,0,8,4,11,Priority-Zone,0,0,41,28,1
DLR0001,Nexon,XZ+,2023-03,2023,3,37,4,29,40,37,35,11,4,10,8,Priority-Zone,1,0,179,73,3
DLR0001,Nexon,XZ+,2023-04,2023,4,23,2,22,26,24,23,4,10,11,17,Priority-Zone,1,0,109,55,2
DLR0001,Nexon,XZ+,2023-05,2023,5,9,1,9,8,7,6,1,11,8,16,Priority-Zone,0,0,31,16,1
DLR0001,Nexon,XZ+,2023-06,2023,6,24,2,23,27,26,24,4,8,9,12,Priority-Zone,1,0,103,48,1
DLR0001,Nexon,XZ+,2023-07,2023,7,35,3,30,38,37,35,3,9,14,16,Priority-Zone,1,0,162,52,1
DLR0001,Nexon,XZ+,2023-08,2023,8,10,1,13,14,12,11,1,14,12,16,Priority-Zone,0,0,41,18,1
DLR0001,Nexon,XZ+,2023-09,2023,9,9,1,11,11,10,9,0,12,10,16,Priority-Zone,0,0,36,21,1
DLR0001,Nexon,XZ+,2023-10,2023,10,31,3,24,34,32,31,3,10,17,17,Priority-Zone,1,0,107,56,3
DLR0001,Nexon,XZ+,2023-11,2023,11,41,3,35,41,39,36,10,17,18,21,Priority-Zone,1,0,130,71,4
DLR0001,Nexon,XZ+,2023-12,2023,12,15,1,10,9,8,7,1,18,15,18,Priority-Zone,0,0,71,30,1
DLR0001,Nexon,Dark,2020-01,2020,1,4,0,8,5,4,3,1,13,8,9,Priority-Zone,0,0,19,6,0
DLR0001,Nexon,Dark,2020-02,2020,2,12,1,12,10,9,8,0,8,4,18,Priority-Zone,0,0,51,24,1
DLR0001,Nexon,Dark,2020-03,2020,3,7,0,7,5,4,3,0,4,0,7,Priority-Zone,0,1,25,12,0
DLR0001,Nexon,Dark,2020-04,2020,4,4,1,4,5,4,3,0,0,0,20,Priority-Zone,1,1,14,7,0
DLR0001,Nexon,Dark,2020-05,2020,5,6,1,3,5,4,3,0,0,0,13,Priority-Zone,1,1,26,13,0
DLR0001,Nexon,Dark,2020-06,2020,6,2,0,4,5,4,3,0,0,0,12,Priority-Zone,1,1,9,4,0
DLR0001,Nexon,Dark,2020-07,2020,7,0,0,0,1,0,0,0,0,0,17,Priority-Zone,1,1,0,0,0
DLR0001,Nexon,Dark,2020-08,2020,8,0,0,0,1,0,0,0,0,0,8,Priority-Zone,1,1,0,0,0
DLR0001,Nexon,Dark,2020-09,2020,9,8,0,3,7,6,5,0,0,2,11,Priority-Zone,1,0,34,18,0
DLR0001,Nexon,Dark,2020-10,2020,10,13,0,12,17,16,15,2,2,5,18,Priority-Zone,1,0,41,29,1
DLR0001,Nexon,Dark,2020-11,2020,11,10,1,12,16,14,13,1,5,6,20,Priority-Zone,1,0,33,16,1
DLR0001,Nexon,Dark,2020-12,2020,12,5,0,4,5,4,3,0,6,5,21,Priority-Zone,0,0,23,9,0
DLR0001,Nexon,Dark,2021-01,2021,1,26,2,25,32,30,28,8,5,8,11,Priority-Zone,1,0,109,48,2
DLR0001,Nexon,Dark,2021-02,2021,2,18,2,20,26,25,24,2,8,12,17,Priority-Zone,1,0,54,30,1
DLR0001,Nexon,Dark,2021-03,2021,3,9,0,8,11,10,9,0,12,13,20,Priority-Zone,0,0,28,13,1
DLR0001,Nexon,Dark,2021-04,2021,4,17,1,11,8,7,6,1,13,8,17,Priority-Zone,0,0,73,28,0
DLR0001,Nexon,Dark,2021-05,2021,5,29,1,25,26,24,23,1,8,6,21,Priority-Zone,1,0,87,66,2
DLR0001,Nexon,Dark,2021-06,2021,6,7,0,7,4,3,2,0,6,1,16,Priority-Zone,0,0,23,14,0
DLR0001,Nexon,Dark,2021-07,2021,7,13,2,11,19,17,16,1,1,6,10,Priority-Zone,1,0,53,23,0
DLR0001,Nexon,Dark,2021-08,2021,8,14,0,14,16,14,13,1,6,5,16,Priority-Zone,1,0,61,29,1
DLR0001,Nexon,Dark,2021-09,2021,9,20,2,16,19,18,17,3,5,6,13,Priority-Zone,1,0,86,44,2
DLR0001,Nexon,Dark,2021-10,2021,10,14,1,14,16,14,12,3,6,4,9,Priority-Zone,1,0,48,25,0
DLR0001,Nexon,Dark,2021-11,2021,11,34,4,34,47,34,33,1,4,3,15,Priority-Zone,1,0,150,66,2
DLR0001,Nexon,Dark,2021-12,2021,12,19,1,21,25,24,23,4,3,5,8,Priority-Zone,1,0,66,29,1
DLR0001,Nexon,Dark,2022-01,2022,1,13,0,9,8,7,6,0,5,2,15,Priority-Zone,0,0,47,27,1
DLR0001,Nexon,Dark,2022-02,2022,2,6,0,9,9,8,7,0,2,0,18,Priority-Zone,1,1,26,11,0
